Company,Average Score,Strong Buy,Buy,Hold,Sell,Strong Sell,Total Ratings
A,1.71,7,4,3,0,0,14
AAL,2.39,4,5,7,2,0,18
AAP,2.56,4,9,11,1,2,27
AAPL,1.87,11,21,6,0,0,38
ABBV,2.3,4,6,10,0,0,20
ABC,2.36,3,3,8,0,0,14
ABMD,1.7,5,3,2,0,0,10
ABT,2.0,7,6,7,0,0,20
ACN,2.24,7,9,12,1,0,29
ADBE,1.84,11,14,6,0,0,31
ADI,2.15,6,10,10,0,0,26
ADM,3.0,1,1,12,1,1,16
ADP,2.78,2,0,16,0,0,18
ADSK,1.87,8,11,3,1,0,23
AEE,2.67,2,0,6,1,0,9
AEP,2.41,4,2,11,0,0,17
AES,2.33,1,4,4,0,0,9
AFL,2.93,1,2,10,1,1,15
AIG,2.47,3,7,7,1,1,19
AIV,2.69,3,2,9,1,1,16
AIZ,2.67,0,1,2,0,0,3
AJG,2.44,3,4,8,1,0,16
AKAM,2.5,4,7,13,2,0,26
ALB,2.5,2,6,12,0,0,20
ALGN,1.36,7,4,0,0,0,11
ALK,1.86,5,6,3,0,0,14
ALL,2.3,7,4,7,0,2,20
ALLE,2.0,3,4,3,0,0,10
ALXN,1.86,6,12,3,0,0,21
AMAT,1.81,5,15,1,0,0,21
AMD,2.68,5,6,15,4,1,31
AME,1.64,6,7,1,0,0,14
AMGN,2.48,3,7,15,0,0,25
AMP,2.18,3,3,5,0,0,11
AMT,1.73,7,14,1,0,0,22
AMZN,1.79,15,28,3,1,0,47
ANET,2.16,5,11,9,0,0,25
ANSS,2.88,2,0,13,2,0,17
ANTM,2.05,7,4,8,0,0,19
AON,2.63,3,3,11,2,0,19
AOS,2.38,3,2,8,0,0,13
APA,3.03,2,5,14,6,2,29
APD,2.15,3,11,6,0,0,20
APH,2.14,4,4,6,0,0,14
ARE,2.33,1,6,5,0,0,12
ATO,2.6,1,3,5,1,0,10
ATVI,1.93,9,11,7,0,0,27
AVB,2.32,6,7,11,0,1,25
AVGO,1.72,10,17,2,0,0,29
AVY,2.11,3,2,4,0,0,9
AWK,2.4,3,3,9,0,0,15
AXP,2.5,6,4,16,2,0,28
AZO,2.41,6,6,14,0,1,27
BA,2.16,7,7,11,0,0,25
BAC,2.13,6,16,7,0,1,30
BAX,2.56,2,4,9,1,0,16
BBY,2.8,2,5,16,0,2,25
BDX,1.87,7,3,5,0,0,15
BEN,3.15,1,0,8,4,0,13
BIIB,2.09,8,13,11,0,0,32
BIO,1.5,2,2,0,0,0,4
BK,2.75,1,5,12,2,0,20
BLK,2.0,3,9,3,0,0,15
BLL,2.23,3,4,6,0,0,13
BMY,2.45,5,4,11,2,0,22
BR,2.83,0,1,5,0,0,6
BSX,1.83,10,8,6,0,0,24
BWA,2.67,2,6,10,3,0,21
BXP,2.59,2,5,15,0,0,22
C,2.34,5,12,10,1,1,29
CAG,2.21,4,6,2,1,1,14
CAH,2.94,0,1,15,0,0,16
CAT,2.46,4,7,11,2,0,24
CB,2.05,5,11,1,1,1,19
CBOE,2.54,2,2,9,0,0,13
CCI,2.19,4,9,8,0,0,21
CCL,2.08,9,6,9,1,0,25
CDNS,2.56,2,1,5,1,0,9
CDW,2.0,5,5,3,1,0,14
CE,2.21,4,8,6,1,0,19
CERN,2.15,6,5,9,0,0,20
CF,2.65,2,4,9,2,0,17
CFG,2.43,4,7,10,2,0,23
CHD,3.0,2,1,13,5,0,21
CHRW,2.86,2,2,15,3,0,22
CHTR,2.15,5,12,9,0,0,26
CI,1.88,6,7,4,0,0,17
CINF,3.0,0,1,5,1,0,7
CL,2.78,1,4,17,1,0,23
CLX,2.88,1,1,13,1,0,16
CMA,2.67,2,8,15,1,1,27
CMCSA,1.65,12,18,1,0,0,31
CME,2.07,4,5,5,0,0,14
CMG,2.89,3,4,23,4,1,35
CMI,2.79,3,4,14,1,2,24
CMS,2.43,2,4,8,0,0,14
CNC,2.0,5,7,5,0,0,17
CNP,2.75,2,0,14,0,0,16
COF,2.38,4,9,9,2,0,24
COG,2.2,4,16,10,0,0,30
COO,1.87,7,3,5,0,0,15
COP,2.0,6,9,6,0,0,21
COST,2.14,7,11,11,0,0,29
COTY,2.71,2,3,10,2,0,17
CPB,3.24,0,2,10,4,1,17
CPRT,2.73,1,1,9,0,0,11
CRM,1.78,16,25,3,0,1,45
CSCO,2.0,8,11,8,0,0,27
CSX,2.19,6,12,7,2,0,27
CTAS,2.57,2,3,8,1,0,14
CTL,2.71,2,4,8,3,0,17
CTSH,1.97,10,14,9,0,0,33
CTVA,5.0,0,0,0,0,1,1
CTXS,2.64,4,5,10,1,2,22
CVS,2.17,5,10,9,0,0,24
CVX,2.12,6,10,7,1,0,24
CXO,1.83,10,15,5,0,0,30
D,2.67,2,2,14,0,0,18
DAL,1.61,7,11,0,0,0,18
DE,2.55,4,3,14,1,0,22
DFS,2.08,8,8,8,1,0,25
DG,2.47,6,8,14,0,2,30
DGX,2.75,1,4,14,1,0,20
DHI,2.13,6,8,9,0,0,23
DHR,1.82,7,6,4,0,0,17
DIS,2.47,5,10,12,2,1,30
DISCA,2.92,2,2,17,2,1,24
DISCK,3.0,0,0,1,0,0,1
DISH,2.52,3,8,9,3,0,23
DLR,2.61,1,6,10,1,0,18
DLTR,2.12,8,7,11,0,0,26
DOV,2.56,2,4,12,0,0,18
DPZ,2.35,5,3,12,0,0,20
DRE,2.53,2,3,10,0,0,15
DRI,2.48,6,3,17,1,0,27
DTE,2.55,2,2,6,1,0,11
DUK,2.94,1,2,12,1,1,17
DVA,2.77,2,1,8,2,0,13
DVN,1.97,10,13,9,0,0,32
DXC,2.21,3,9,7,0,0,19
DXCM,1.94,8,3,7,0,0,18
EA,1.89,8,14,5,0,0,27
EBAY,2.47,6,10,20,2,0,38
ECL,2.23,6,6,9,1,0,22
ED,3.36,1,0,7,5,1,14
EFX,2.19,3,7,6,0,0,16
EIX,2.2,4,4,7,0,0,15
EL,1.92,7,12,5,0,0,24
EMN,2.28,2,9,7,0,0,18
EMR,2.67,4,2,13,1,1,21
EOG,2.11,10,11,14,0,0,35
