Company,Price,S/O,Market Cap,Cash,Debt,Revenue,EV,Forward PE
A,98.30,308.78M,30.35B,1.36B,2.32B,5.22B,31.34B,26.78
AAL,12.16,508.11M,6.18B,9.81B,40.05B,33.36B,36.42B,-4.44
AAP,156.11,69.14M,10.79B,1.14B,3.71B,9.62B,13.29B,17.36
AAPL,497.48,4.28B,2.13T,93.03B,122.19B,273.86B,2.16T,32.01
ABBV,94.86,1.76B,167.41B,6.05B,87.48B,36.23B,248.86B,7.83
ABC,98.15,204.14M,20.04B,3.42B,4.66B,186.29B,21.39B,11.66
ABMD,307.57,45.05M,13.86B,427.36M,12.12M,798.07M,13.44B,58.14
ABT,102.40,1.77B,181.3B,5.04B,19.68B,31.44B,196.16B,26.32
ACN,237.49,636.2M,151.3B,6.45B,3.51B,44.55B,148.63B,29.32
ADBE,473.22,479.66M,226.99B,4.35B,4.7B,12.05B,227.33B,42.59
ADI,116.02,369.17M,42.83B,784.94M,6.15B,5.54B,48.11B,21.06
ADM,43.59,555.65M,24.22B,1.21B,10.3B,64.31B,33.41B,12.86
ADP,138.08,429.96M,59.37B,1.91B,2.46B,14.59B,59.92B,23.17
ADSK,248.27,219.2M,54.42B,1.47B,2.08B,3.42B,55.04B,46.23
AEE,80.72,247.08M,19.94B,8M,10.65B,5.55B,30.92B,21.41
AEP,79.08,496.16M,39.24B,541.1M,32.78B,15.17B,71.87B,17.01
AES,18.02,665.13M,11.99B,1.84B,21.37B,9.61B,33.76B,11.70
AFL,36.42,712.91M,25.96B,6.3B,10.05B,21.71B,29.71B,8.11
AIG,28.27,861.43M,24.35B,24.53B,39.28B,48.59B,40.17B,6.56
AIV,35.17,148.86M,5.24B,398.41M,4.89B,904.07M,10.63B,"-1,758.50"
AIZ,120.64,59.65M,7.2B,2.36B,3.71B,9.98B,8.57B,11.39
AJG,103.47,191.47M,19.81B,349.7M,5.03B,6.76B,24.54B,22.99
AKAM,110.64,162.7M,18B,1.37B,2.69B,3.04B,19.31B,20.19
ALB,89.74,106.36M,9.54B,736.7M,3.68B,3.38B,12.67B,21.07
